n,p,r,val
1000,80,1,0.435037356
1000,80,1,0.441734226
1000,80,1,0.452117584
1000,80,1,0.460014825
1000,80,1,0.463586804
1000,80,1,0.466680772
1000,80,1,0.4667103
1000,80,1,0.478065869
1000,80,1,0.502885032
1000,80,1,0.524358116
1000,80,1,0.528729826
1000,80,1,0.534386619
1000,80,1,0.544797309
1000,80,1,0.546256858
1000,80,1,0.566304336
1000,80,1,0.57230775
1000,80,1,0.602905855
1000,80,1,0.683232665
1000,150,1,1.06129444
1000,150,1,1.077382712
1000,150,1,1.122403178
1000,150,1,1.122947568
1000,150,1,1.157979041
1000,150,1,1.171823973
1000,150,1,1.181476669
1000,150,1,1.1823708
1000,150,1,1.201874937
1000,150,1,1.203077432
1000,150,1,1.213191102
1000,150,1,1.220822947
1000,150,1,1.227184061
1000,150,1,1.230432526
1000,150,1,1.248002457
1000,150,1,1.272037987
1000,150,1,1.307863207
1000,150,1,1.319172042
1000,150,1,1.324181526
1000,150,1,1.339653828
1000,150,1,1.347369362
1000,150,1,1.368809313
1000,150,1,1.373815055
1000,150,1,1.394325608
1000,150,1,1.484998708
1000,150,1,1.519786512
1000,150,1,1.541853017
1000,150,1,1.543709813
1000,150,1,1.588468623
1000,150,1,1.627364574
1000,300,1,3.52456738
1000,300,1,3.712353678
1000,300,1,3.815462986
1000,300,1,3.848921862
1000,300,1,3.851716953
1000,300,1,3.888581679
1000,300,1,3.923596804
1000,300,1,3.936040136
1000,300,1,4.022779402
1000,300,1,4.035074717
1000,300,1,4.052911271
1000,300,1,4.100313584
1000,300,1,4.102111671
1000,300,1,4.14449107
1000,300,1,4.298830175
1000,300,1,4.326163342
1000,300,1,4.337268921
1000,300,1,4.374222626
1000,300,1,4.422591645
1000,300,1,4.469575194
1000,300,1,4.480343129
1000,300,1,4.492062413
1000,300,1,4.49784198
1000,300,1,4.53708532
1000,300,1,4.587917095
1000,300,1,4.589912598
1000,300,1,4.631109079
1000,300,1,4.741035478
1000,300,1,4.757562035
1000,300,1,4.821902096
2000,1,1,3.05E-11
2000,1,1,1.46E-10
2000,1,1,1.52E-10
2000,1,1,1.77E-10
2000,1,1,2.24E-10
2000,1,1,3.59E-10
2000,1,1,4.89E-10
2000,1,1,6.10E-10
2000,1,1,6.48E-10
2000,1,1,6.99E-10
2000,1,1,7.42E-10
2000,1,1,9.45E-10
2000,1,1,1.01E-09
2000,1,1,1.07E-09
2000,1,1,1.07E-09
2000,1,1,1.10E-09
2000,1,1,1.23E-09
2000,1,1,1.29E-09
2000,1,1,1.29E-09
2000,1,1,1.49E-09
2000,1,1,1.51E-09
2000,1,1,1.78E-09
2000,1,1,2.10E-09
2000,1,1,2.50E-09
2000,1,1,2.64E-09
2000,1,1,2.76E-09
2000,1,1,2.86E-09
2000,1,1,3.09E-09
2000,1,1,4.44E-09
2000,1,1,4.77E-09
2000,5,1,0.000235421
2000,5,1,0.000300773
2000,5,1,0.00030267
2000,5,1,0.000371612
2000,5,1,0.000390405
2000,5,1,0.000391206
2000,5,1,0.000391579
2000,5,1,0.000396442
2000,5,1,0.000396909
2000,5,1,0.000397307
2000,5,1,0.000405127
2000,5,1,0.000407606
2000,5,1,0.000411389
2000,5,1,0.000413829
2000,5,1,0.000423232
2000,5,1,0.000454952
2000,5,1,0.00046232
2000,5,1,0.000467503
2000,5,1,0.000484113
2000,5,1,0.000485375
2000,5,1,0.000486996
2000,5,1,0.00050398
2000,5,1,0.000504209
2000,5,1,0.000525641
2000,5,1,0.000569315
2000,5,1,0.000570188
2000,5,1,0.000589153
2000,5,1,0.000601665
2000,5,1,0.000603491
2000,5,1,0.000636765
2000,10,1,0.002384905
2000,10,1,0.002707406
2000,10,1,0.002708285
2000,10,1,0.00289152
2000,10,1,0.002988993
2000,10,1,0.00327239
2000,10,1,0.003276175
2000,10,1,0.003392864
2000,10,1,0.003403094
2000,10,1,0.003438726
2000,10,1,0.003448513
2000,10,1,0.003522163
2000,10,1,0.003539929
2000,10,1,0.003576432
2000,10,1,0.003586755
2000,10,1,0.003589037
2000,10,1,0.003638999
2000,10,1,0.003672853
2000,10,1,0.003678902
2000,10,1,0.003694802
2000,10,1,0.003785178
2000,10,1,0.003834227
2000,10,1,0.00392968
2000,10,1,0.003934882
2000,10,1,0.003975004
2000,10,1,0.003981039
2000,10,1,0.004028134
2000,10,1,0.004036102
2000,10,1,0.004068634
2000,10,1,0.004463681
2000,20,1,0.010854278
2000,20,1,0.01279604
2000,20,1,0.013829896
2000,20,1,0.013979973
2000,20,1,0.014431877
2000,20,1,0.014631047
2000,20,1,0.014679904
2000,20,1,0.014694532
2000,20,1,0.014854524
2000,20,1,0.014874373
